Season,Team,Name,Avg,On-base %,Slug %,OPS,H,AB,R,HR,RBI,1B,2B,3B,BB,K,SB,CS,Sac-Bunt,GIDP
2000,Barstow,Abreu,0.143,0.308,0.286,0.593,3,21,3,1,4,2,,,5,3,,,2,
2000,San Mateo,Alou,0.314,0.340,0.392,0.732,16,51,5,1,8,14,1,,2,8,,,6,
2000,BNB,Aurilla,0.343,0.410,0.486,0.896,12,35,7,1,2,9,2,,4,6,,,,
2000,Reno,Bagwell,0.220,0.264,0.380,0.644,11,50,4,2,4,7,2,,3,8,,,1,
2000,Barstow,Beltran,0.357,0.438,0.750,1.188,10,28,9,1,5,3,4,2,4,4,3,,,
2000,Reno,Beltre,0.333,0.400,0.489,0.889,15,45,4,1,5,10,4,,5,12,2,1,2,
2000,BNB,Benjamin,0.000,0.000,0.000,0.000,0,3,,,,,,,,3,3,1,,
2000,Sparks,Castilla,0.143,0.189,0.200,0.389,5,35,2,0,4,3,2,,2,7,2,,6,
2000,San Mateo,Castillo (SM),0.339,0.403,0.393,0.796,19,56,12,0,3,16,3,,6,7,18,2,1,
2000,Reno,Cirillo,0.250,0.500,0.625,1.125,2,8,3,1,1,1,,,4,0,,,,
2000,Barstow,Conine,,,,0.000,0,0,1,,,0,,,1,,,,,
2000,Sparks,Counsell,0.233,0.298,0.233,0.530,10,43,6,0,7,10,,,4,11,,,3,
2000,Barstow,Diaz,0.277,0.333,0.383,0.716,13,47,4,0,5,8,5,,4,12,,,4,
2000,Reno,Drew,0.216,0.322,0.549,0.871,11,51,6,5,8,4,2,,8,10,2,4,,
2000,San Mateo,Durazo,0.214,0.340,0.429,0.769,9,42,5,1,5,2,6,,8,13,,,5,
2000,Sparks,Erstad,0.263,0.288,0.404,0.692,15,57,8,1,4,9,5,,2,10,,,,
2000,BNB,Fletcher,0.135,0.179,0.162,0.342,5,37,3,0,0,4,1,,2,10,1,,6,
2000,San Mateo,Floyd,0.083,0.154,0.167,0.321,1,12,,,1,0,1,,1,4,,,,
2000,Reno,Floyd (R),0.000,0.000,0.000,0.000,0,10,,,,0,,,,4,,,,
2000,Reno,Giambi,0.265,0.444,0.500,0.944,9,34,3,2,2,5,2,,11,7,,,1,
2000,BNB,Giles,0.279,0.340,0.488,0.829,12,43,5,2,4,7,3,,4,15,,,,
2000,Barstow,Gonzalez,0.241,0.267,0.517,0.784,7,29,5,2,9,3,2,,1,4,,,,
2000,Reno,Goodwin,0.333,0.333,0.333,0.667,1,3,3,0,0,1,,,,1,3,1,,
2000,Barstow,Green,0.196,0.255,0.529,0.784,10,51,9,5,12,3,2,,4,10,1,,1,
2000,BNB,Guerrero,0.205,0.327,0.409,0.736,9,44,4,2,5,4,3,,8,13,0,2,,
2000,Barstow,Higginson,0.310,0.394,0.379,0.773,9,29,5,0,3,7,2,,4,5,1,,,
2000,Reno,Hunter,0.310,0.383,0.595,0.978,13,42,5,3,7,7,3,,5,7,0,1,5,
2000,San Mateo,Jackson,0.000,0.000,0.000,0.000,0,2,,,,0,,,,1,1,2,,
2000,BNB,Je. Giambi,0.214,0.389,0.286,0.675,3,14,0,0,0,2,1,,4,5,,,1,
2000,BNB,Jenkins,0.000,0.111,0.000,0.111,0,8,,0,0,0,,,1,3,,,,
2000,BNB,Kapler,0.200,0.310,0.260,0.570,10,50,8,0,3,7,3,,8,11,,,2,
2000,Reno,Kent,0.273,0.298,0.545,0.844,15,55,7,4,11,8,3,,2,12,,,2,
2000,Sparks,Klesko,0.167,0.375,0.367,0.742,5,30,4,2,5,3,,,10,5,3,2,1,
2000,San Mateo,Konerko,0.250,0.313,0.341,0.653,11,44,3,1,2,9,1,,4,9,,,1,
2000,BNB,Larkin,0.158,0.273,0.263,0.536,3,19,1,0,1,2,,1,3,4,2,0,,
2000,San Mateo,Larue,0.326,0.356,0.628,0.983,14,43,4,3,8,7,4,,2,9,1,,2,
2000,Barstow,Lowell,0.236,0.288,0.255,0.543,13,55,5,0,8,12,1,,4,10,1,,1,
2000,Reno,Matheny,0.125,0.276,0.125,0.401,3,24,0,0,2,3,,,5,4,,,6,
2000,Sparks,Mayne,0.302,0.400,0.395,0.795,13,43,7,1,5,11,1,,7,10,1,,,
2000,Sparks,McLemore,0.231,0.412,0.423,0.835,6,26,6,0,4,2,3,1,8,8,5,0,,
2000,BNB,Ordonez,0.292,0.358,0.458,0.817,14,48,4,1,7,8,5,,5,9,,,1,
2000,BNB,Piazza,0.281,0.324,0.406,0.730,9,32,1,1,5,7,1,,2,7,1,,1,
2000,Barstow,Pierre,0.267,0.333,0.333,0.667,16,60,8,0,3,14,,2,6,9,8,,,
2000,Barstow,Polanco,0.259,0.273,0.259,0.532,14,54,4,0,3,14,,,1,11,,,2,
2000,BNB,Ramirez,0.304,0.333,0.435,0.768,14,46,2,1,1,10,3,,2,10,,,1,
2000,Sparks,Ramirez,0.167,0.375,0.278,0.653,3,18,3,0,1,1,2,,6,6,,,,
2000,San Mateo,Renteria,0.222,0.263,0.333,0.596,12,54,6,1,8,8,3,,3,15,,,4,
2000,Reno,Rollins,0.246,0.258,0.295,0.553,15,61,5,0,4,12,3,,1,10,7,2,,
2000,Sparks,Sexson,0.370,0.414,0.611,1.025,20,54,8,4,13,15,1,,4,12,,,,
2000,San Mateo,Sheffield,0.244,0.340,0.463,0.804,10,41,6,2,6,5,3,,6,7,,,,
2000,Sparks,Sierra,0.236,0.276,0.509,0.785,13,55,11,4,5,6,3,,3,11,,,2,
2000,Sparks,Tejada,0.333,0.418,0.604,1.022,16,48,8,3,8,9,4,,7,12,4,0,3,
2000,Barstow,Thome,0.362,0.500,0.660,1.160,17,47,11,4,13,11,2,,13,12,,,1,
2000,San Mateo,Tyner,,,,,0,0,1,,,,,,,,,1,,
2000,BNB,Vaughn,0.370,0.393,0.574,0.967,20,54,5,3,12,15,2,,2,14,,,,
2000,San Mateo,Ventura,0.261,0.358,0.348,0.706,12,46,6,0,4,8,4,,7,8,,,2,
2000,Barstow,Vina (BLD),0.463,0.525,0.611,1.136,25,54,8,0,6,20,2,3,7,10,3,,4,
2000,Sparks,Vina (SSC),,,,,0,1,,,,0,,,,,,,,
2000,Reno,White,0.250,0.362,0.275,0.637,10,40,5,0,1,9,1,,7,9,0,1,1,
2000,San Mateo,Williams,0.347,0.458,0.429,0.886,17,49,8,1,10,15,1,,10,9,,,1,
2000,Reno,Wilson,0.100,0.100,0.100,0.200,1,10,,,,1,,,,3,,,,
2001,Fresno,Abreu,0.274,0.384,0.370,0.754,20,73,7,0,7,13,7,,13,11,3,1,,4
2001,Ojai,Alomar,0.317,0.417,0.463,0.880,13,41,9,0,3,8,4,1,7,8,5,0,,
2001,San Mateo,Alou,0.368,0.396,0.494,0.890,32,87,11,3,12,27,2,,4,8,,,,3
2001,Ojai,Anderson,0.222,0.300,0.417,0.717,8,36,3,1,5,3,4,,4,11,,,,
2001,BNB,Aurillia,0.349,0.391,0.698,1.089,30,86,17,9,23,18,3,,6,18,,,,1
2001,Reno,Bell,0.286,0.419,0.400,0.819,10,35,4,0,2,6,4,,8,6,,,1,
2001,Reno,Belliard,0.206,0.250,0.353,0.603,7,34,4,1,3,4,2,,2,9,,,1,
2001,Barstow,Beltran,0.247,0.318,0.338,0.655,19,77,8,1,12,15,2,1,8,20,8,3,,2
2001,Reno,Beltre,0.171,0.261,0.195,0.456,7,41,1,0,4,6,1,,5,10,,,2,1
2001,Sparks,Blanco,1.000,1.000,1.000,2.000,1,1,1,,,1,,,,,1,0,,
2001,Fresno,Casey,0.293,0.346,0.360,0.706,22,75,8,0,7,17,5,,6,13,,,3,5
2001,San Mateo,Castillo,0.307,0.344,0.364,0.708,27,88,14,0,3,22,5,,5,17,14,2,,
2001,Reno,Cedeno,0.262,0.340,0.333,0.674,22,84,14,0,4,17,4,1,10,19,13,4,,2
2001,Barstow,Cedeno (BLD),0.000,0.000,0.000,0.000,0,1,5,,,0,,,,,4,1,,
2001,Fresno,Cirillo,0.322,0.351,0.422,0.773,29,90,9,2,9,24,3,,4,18,2,3,,
2001,Reno,Cordova,0.188,0.217,0.225,0.442,15,80,2,0,0,12,3,,3,19,,,1,3
2001,Sparks,Crede,0.348,0.403,0.576,0.979,23,66,11,3,9,14,6,,6,11,,,2,2
2001,BNB,Davis,0.206,0.333,0.254,0.587,13,63,4,0,7,10,3,,12,16,,,2,1
2001,Ojai,Delgado,0.139,0.262,0.222,0.484,5,36,5,1,1,4,,,6,7,,,,2
2001,Barstow,Diaz,0.338,0.382,0.451,0.832,24,71,6,0,11,16,8,,5,13,,,1,2
2001,Reno,Drew,0.364,0.467,0.779,1.247,28,77,22,8,19,12,8,,15,16,8,5,,2
2001,San Mateo,Durazo,0.185,0.267,0.444,0.711,5,27,3,2,4,2,1,,3,8,,,,1
2001,Ojai,Edmonds,0.219,0.380,0.301,0.682,16,73,9,0,11,10,6,,19,16,,,,1
2001,Sparks,Eric Young,0.303,0.361,0.382,0.743,27,89,17,1,8,22,4,,8,15,11,6,1,2
2001,Fresno,Erstad,0.286,0.333,0.321,0.655,8,28,4,0,3,7,1,,2,5,,,2,2
2001,Fresno,Eusebio,0.000,0.000,0.000,0.000,0,1,,,,0,,,,,,,,
2001,Reno,Finley,0.224,0.244,0.342,0.586,17,76,8,2,4,12,3,,2,13,,,1,2
2001,Fresno,Floyd,0.342,0.422,0.582,1.005,27,79,16,4,13,16,7,,11,17,3,3,,3
2001,Barstow,G. Vaughn,0.167,0.286,0.333,0.619,1,6,1,,,0,1,,1,1,,,,
2001,Ojai,Giambi (OJO),0.474,0.583,0.684,1.268,18,38,11,1,8,12,5,,10,4,,,,
2001,Sparks,Giles,0.333,0.447,0.538,0.985,13,39,8,2,9,9,2,,8,8,,,,1
2001,Sparks,Gonzalez,0.190,0.227,0.286,0.513,8,42,3,1,2,6,1,,2,10,,,,1
2001,Fresno,Goodwin,0.250,0.250,0.250,0.500,1,4,7,0,0,1,,,0,1,9,2,,
2001,Ojai,Grace,0.269,0.296,0.346,0.642,7,26,4,0,2,5,2,,1,2,,,1,4
2001,Sparks,Green,0.200,0.286,0.427,0.712,15,75,9,4,15,6,5,,9,22,3,3,3,2
2001,San Mateo,Guerrero,0.272,0.330,0.556,0.885,22,81,17,5,15,9,8,,7,12,4,1,,
2001,San Mateo,Hidalgo,0.111,0.250,0.185,0.435,3,27,3,0,5,1,2,,5,9,,,,1
2001,Barstow,Higginson,0.329,0.417,0.466,0.882,24,73,11,0,9,14,10,,11,13,2,1,1,
2001,San Mateo,Hunter,0.239,0.271,0.413,0.684,11,46,4,2,4,7,2,,2,7,0,1,,
2001,Reno,Ja. Giambi,0.310,0.443,0.620,1.063,22,71,8,5,18,10,7,,17,10,,,,1
2001,San Mateo,Je. Giambi,0.288,0.402,0.507,0.909,21,73,14,3,12,11,7,,14,15,,,,3
2001,Fresno,Jeter,0.250,0.337,0.345,0.682,21,84,9,2,10,17,2,,11,18,8,7,,2
2001,Fresno,Johnson,0.309,0.382,0.412,0.793,21,68,8,0,7,14,7,,8,9,,,5,2
2001,Ojai,Jones,0.206,0.372,0.324,0.696,7,34,5,1,6,5,1,,9,7,,,,1
2001,BNB,Kapler,0.050,0.174,0.050,0.224,1,20,2,0,1,1,,,3,10,,,2,3
2001,BNB,Kelty,0.211,0.318,0.368,0.687,4,19,5,1,2,3,,,3,6,,,,1
2001,Fresno,Kent,0.276,0.389,0.487,0.876,21,76,13,3,17,11,7,,14,12,,,,2
2001,San Mateo,Konerko,0.190,0.292,0.476,0.768,4,21,4,2,4,2,,,3,7,,,2,1
2001,San Mateo,Koskie,0.293,0.408,0.488,0.896,24,82,17,3,16,14,7,,16,14,0,1,,
2001,Ojai,L. Gonzalez,0.313,0.394,0.578,0.972,26,83,15,5,17,14,7,,11,16,,,,4
2001,San Mateo,Larue,0.207,0.270,0.328,0.597,12,58,6,2,9,9,1,,5,18,,,2,1
2001,Sparks,Long,0.338,0.408,0.471,0.878,23,68,11,2,9,18,3,,8,11,1,2,3,1
2001,Fresno,Lopez,0.000,0.000,0.000,0.000,0,1,,,,0,,,,,,,,
2001,Ojai,Lowell,0.316,0.366,0.447,0.813,12,38,6,1,8,9,2,,3,7,,,1,1
2001,Ojai,Lugo,0.257,0.342,0.286,0.627,18,70,12,0,3,16,2,,9,14,5,1,2,1
